adventure_id,adventure_title,source_book,publisher,page_count,level_start,level_end,levels_action,decision,reason
ADV-0926,Everybody Dies at a Costume Ball,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,1,1,PRESERVE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0927,Everybody Dies in Barovia,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,1,1,PRESERVE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0928,Everybody Dies in the Eye of the Beholder,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,1,1,PRESERVE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0929,Everybody Conveniently Dies in a Cemetery,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,1,1,PRESERVE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0930,Everybody Dies Eating Mushroom Soufflé,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,1,1,PRESERVE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0931,Everybody Dies as a Surprise,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,1,1,PRESERVE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0932,Everybody Dies on a Squid,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,1,1,PRESERVE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0933,Everybody Dies in a Den of Snakes,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,1,1,PRESERVE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0934,Everybody Dies in the Heart of the Storm,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,1,1,PRESERVE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0935,Everybody Dies at the Circus,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,1,1,PRESERVE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0936,Everybody Dies at the Slurping Spa,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,1,1,PRESERVE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0937,Everybody Dies at Turtle Bay,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,1,1,PRESERVE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0938,Everybody Dies in a Dungeon,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,1,1,PRESERVE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0939,Everybody Dies on a Lightning Train,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,8,1,1,PRESERVE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0940,Everybody Dies in Wildspace,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,1,1,PRESERVE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
